Format Version,1.23,Take Name,Take 2024-04-16 11.26.20 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.26.21.092 AM,Capture Start Frame,160692,Total Frames in Take,6521,Total Exported Frames,6521,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1203,Unlabeled 1203,Unlabeled 1203,Unlabeled 1204,Unlabeled 1204,Unlabeled 1204,Unlabeled 1205,Unlabeled 1205,Unlabeled 1205,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209
,ID,"CE7E0","CE7E0","CE7E0","CE7F0","CE7F0","CE7F0","CE8A0","CE8A0","CE8A0","CE900","CE900","CE900","CE8F0","CE8F0","CE8F0","CE910","CE910","CE910","CE940","CE940","CE940"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
82,0.683333,0.203735,-0.033602,-0.110781,0.231668,-0.033271,-0.075598,0.241931,-0.046581,-0.189391,,,,,,,,,,,,
83,0.691667,0.203062,-0.034442,-0.110752,0.230864,-0.034155,-0.075220,0.241435,-0.047296,-0.189347,,,,,,,,,,,,
84,0.700000,0.202413,-0.035350,-0.110676,0.230310,-0.035055,-0.074859,0.240754,-0.048103,-0.189179,,,,,,,,,,,,
85,0.708333,0.201716,-0.036383,-0.110484,0.229501,-0.036087,-0.074384,0.240094,-0.049021,-0.188975,,,,,,,,,,,,
86,0.716667,0.200997,-0.037555,-0.110193,0.228836,-0.037179,-0.073891,0.239429,-0.049962,-0.188711,,,,,,,,,,,,
87,0.725000,0.200200,-0.038815,-0.109781,0.228256,-0.038360,-0.073293,0.238913,-0.050950,-0.188420,,,,,,,,,,,,
88,0.733333,0.199537,-0.040137,-0.109261,0.227644,-0.039628,-0.072672,0.238321,-0.052051,-0.188068,,,,,,,,,,,,
89,0.741667,0.198879,-0.041533,-0.108666,0.226991,-0.040985,-0.071995,0.237345,-0.053261,-0.187505,,,,,,,,,,,,
90,0.750000,0.197995,-0.043081,-0.108039,0.226142,-0.042489,-0.071231,0.236766,-0.054442,-0.187037,,,,,,,,,,,,
91,0.758333,0.197070,-0.044824,-0.107409,0.225479,-0.044136,-0.070478,0.236087,-0.055785,-0.186482,,,,,,,,,,,,
92,0.766667,0.196154,-0.046768,-0.106766,0.224839,-0.045889,-0.069744,0.235389,-0.057235,-0.185903,,,,,,,,,,,,
93,0.775000,0.195130,-0.048894,-0.106163,0.223343,-0.047950,-0.068942,0.234617,-0.058760,-0.185342,,,,,,,,,,,,
94,0.783333,0.193774,-0.051101,-0.105582,0.222229,-0.049951,-0.068230,0.233719,-0.060373,-0.184753,,,,,,,,,,,,
95,0.791667,0.192441,-0.053364,-0.105089,0.220707,-0.052067,-0.067497,0.232826,-0.062010,-0.184181,,,,,,,,,,,,
96,0.800000,0.190909,-0.055578,-0.104570,0.219198,-0.054098,-0.066776,0.231718,-0.063741,-0.183541,,,,,,,,,,,,
97,0.808333,0.189452,-0.057733,-0.104050,0.217720,-0.056031,-0.066011,0.230699,-0.065427,-0.182960,,,,,,,,,,,,
98,0.816667,0.187914,-0.059840,-0.103509,0.215967,-0.057968,-0.065213,0.229388,-0.067171,-0.182263,,,,,,,,,,,,
99,0.825000,0.186108,-0.061939,-0.102908,0.214356,-0.059949,-0.064437,0.228200,-0.068865,-0.181618,,,,,,,,,,,,
100,0.833333,0.184564,-0.063985,-0.102391,0.212418,-0.061945,-0.063572,0.226716,-0.070615,-0.180885,,,,,,,,,,,,
101,0.841667,0.182657,-0.066028,-0.101785,0.210599,-0.063927,-0.062724,0.225246,-0.072352,-0.180165,,,,,,,,,,,,
102,0.850000,0.180472,-0.067988,-0.101131,0.208471,-0.065849,-0.061869,0.223636,-0.074105,-0.179410,,,,,,,,,,,,
103,0.858333,0.178910,-0.070549,-0.100694,0.206518,-0.067819,-0.061045,0.221969,-0.075868,-0.178645,,,,,,,,,,,,
104,0.866667,0.176162,-0.073389,-0.099961,0.204001,-0.070011,-0.060120,0.220211,-0.077629,-0.177866,,,,,,,,,,,,
105,0.875000,0.173117,-0.075556,-0.099187,0.201432,-0.072061,-0.059216,0.218505,-0.079378,-0.177120,,,,,,,,,,,,
106,0.883333,0.171286,-0.076353,-0.098829,0.198949,-0.073997,-0.058344,0.216692,-0.081203,-0.176328,,,,,,,,,,,,
