Format Version,1.23,Take Name,Take 2024-04-16 11.18.04 AM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.53.18.899 AM,Capture Start Frame,433325,Total Frames in Take,3649,Total Exported Frames,3649,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1320,Unlabeled 1320,Unlabeled 1320,Unlabeled 1321,Unlabeled 1321,Unlabeled 1321,Unlabeled 1322,Unlabeled 1322,Unlabeled 1322,Unlabeled 1324,Unlabeled 1324,Unlabeled 1324
,ID,"CF6B0","CF6B0","CF6B0","CF6D0","CF6D0","CF6D0","CF6E0","CF6E0","CF6E0","CF720","CF720","CF720"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
81,0.675000,0.078465,0.025724,0.456180,0.180482,0.002882,0.342077,0.086942,0.001674,0.365816,,,
82,0.683333,0.078531,0.025889,0.456265,0.180538,0.002969,0.342072,0.086987,0.001734,0.365880,,,
83,0.691667,0.078657,0.026043,0.456488,0.180627,0.003039,0.342105,0.087041,0.001819,0.365910,,,
84,0.700000,0.078729,0.026283,0.456511,0.180764,0.003054,0.342224,0.087086,0.001866,0.365961,,,
85,0.708333,0.078791,0.026481,0.456586,0.180793,0.003096,0.342183,0.087104,0.001872,0.366064,,,
86,0.716667,0.078855,0.026625,0.456657,0.180838,0.003117,0.342199,0.087108,0.001887,0.366161,,,
87,0.725000,0.078927,0.026816,0.456716,0.180890,0.003199,0.342161,0.087099,0.001961,0.366175,,,
88,0.733333,0.078985,0.027046,0.456812,0.180976,0.003241,0.342228,0.087080,0.002072,0.366241,,,
89,0.741667,0.079039,0.027257,0.456975,0.181016,0.003326,0.342223,0.087037,0.002117,0.366390,,,
90,0.750000,0.079029,0.027617,0.456928,0.181108,0.003312,0.342325,0.086957,0.002144,0.366482,,,
91,0.758333,0.079088,0.027816,0.457079,0.181174,0.003329,0.342385,0.086905,0.002141,0.366636,,,
92,0.766667,0.079170,0.027974,0.457269,0.181219,0.003387,0.342430,0.086847,0.002194,0.366730,,,
93,0.775000,0.079195,0.028182,0.457331,0.181309,0.003421,0.342596,0.086764,0.002331,0.366747,,,
94,0.783333,0.079273,0.028376,0.457515,0.181414,0.003512,0.342735,0.086744,0.002409,0.366950,,,
95,0.791667,0.079305,0.028597,0.457599,0.181547,0.003645,0.342905,0.086697,0.002522,0.367066,,,
96,0.800000,0.079352,0.028791,0.457817,0.181610,0.003746,0.342960,0.086673,0.002593,0.367208,,,
97,0.808333,0.079299,0.029035,0.457733,0.181674,0.003801,0.343018,0.086595,0.002684,0.367222,,,
98,0.816667,0.079321,0.029163,0.457822,0.181745,0.003891,0.343035,0.086560,0.002753,0.367294,,,
99,0.825000,0.079366,0.029276,0.458011,0.181790,0.003981,0.343043,0.086525,0.002864,0.367321,,,
100,0.833333,0.079323,0.029448,0.457929,0.181834,0.004080,0.343074,0.086435,0.003038,0.367265,,,
101,0.841667,0.079305,0.029562,0.458055,0.181897,0.004158,0.343145,0.086356,0.003171,0.367352,,,
102,0.850000,0.079264,0.029671,0.458036,0.181935,0.004238,0.343220,0.086332,0.003244,0.367437,,,
103,0.858333,0.079256,0.029707,0.458153,0.181959,0.004331,0.343236,0.086367,0.003323,0.367501,,,
104,0.866667,0.079253,0.029740,0.458229,0.182039,0.004362,0.343367,0.086403,0.003396,0.367610,,,
105,0.875000,0.079248,0.029791,0.458253,0.182139,0.004422,0.343515,0.086402,0.003507,0.367588,,,
106,0.883333,0.079244,0.029871,0.458282,0.182185,0.004531,0.343600,0.086427,0.003576,0.367676,,,
107,0.891667,0.079184,0.029983,0.458175,0.182219,0.004649,0.343663,0.086402,0.003671,0.367689,,,
108,0.900000,0.079142,0.030058,0.458123,0.182188,0.004890,0.343567,0.086397,0.003723,0.367726,,,
109,0.908333,0.079130,0.030084,0.458133,0.182131,0.005071,0.343489,0.086426,0.003764,0.367784,,,
110,0.916667,0.079140,0.030088,0.458129,0.182108,0.005198,0.343473,0.086473,0.003788,0.367820,,,
111,0.925000,0.079156,0.030114,0.458123,0.182061,0.005301,0.343459,0.086516,0.003840,0.367830,,,
112,0.933333,0.079190,0.030179,0.458172,0.181945,0.005442,0.343368,0.086635,0.003872,0.367960,,,
113,0.941667,0.079210,0.030281,0.458131,0.181738,0.005616,0.343219,0.086735,0.003964,0.367950,,,
114,0.950000,0.079251,0.030324,0.458181,0.181528,0.005784,0.342981,0.086849,0.004033,0.368032,,,
115,0.958333,0.079272,0.030410,0.458153,0.181485,0.005855,0.342985,0.086937,0.004137,0.368025,,,
116,0.966667,0.079290,0.030454,0.458126,0.181411,0.005916,0.342985,0.087033,0.004185,0.368125,,,
117,0.975000,0.079313,0.030502,0.458103,0.181328,0.006020,0.342930,0.087092,0.004288,0.368130,,,
118,0.983333,0.079349,0.030552,0.458122,0.181315,0.006119,0.342927,0.087149,0.004364,0.368146,,,
119,0.991667,0.079390,0.030627,0.458164,0.181288,0.006237,0.342927,0.087186,0.004451,0.368189,,,
120,1.000000,0.079416,0.030709,0.458173,0.181324,0.006338,0.342995,0.087203,0.004563,0.368219,,,
121,1.008333,0.079468,0.030788,0.458190,0.181417,0.006414,0.343141,0.087208,0.004633,0.368329,,,
122,1.016667,0.079489,0.030857,0.458161,0.181445,0.006486,0.343166,0.087205,0.004691,0.368360,,,
123,1.025000,0.079496,0.030936,0.458128,0.181520,0.006551,0.343237,0.087237,0.004780,0.368490,,,
124,1.033333,0.079515,0.031005,0.458162,0.181576,0.006616,0.343323,0.087272,0.004870,0.368639,,,
125,1.041667,0.079541,0.031097,0.458200,0.181499,0.006783,0.343170,0.087321,0.004981,0.368714,,,
126,1.050000,0.079576,0.031245,0.458112,0.181556,0.006838,0.343257,0.087382,0.005159,0.368739,,,
127,1.058333,0.079604,0.031379,0.458091,0.181627,0.006914,0.343318,0.087441,0.005316,0.368785,,,
128,1.066667,0.079632,0.031459,0.458143,0.181714,0.006958,0.343444,0.087467,0.005447,0.368782,,,
129,1.075000,0.079666,0.031561,0.458178,0.181743,0.007062,0.343491,0.087466,0.005528,0.368849,,,
130,1.083333,0.079713,0.031693,0.458163,0.182016,0.007422,0.343798,0.087456,0.005586,0.368879,,,
131,1.091667,0.079789,0.031807,0.458280,0.182395,0.011015,0.343505,0.087447,0.005616,0.368984,,,
132,1.100000,0.079748,0.032051,0.458153,0.181551,0.016311,0.343710,0.087385,0.005719,0.369073,,,
133,1.108333,0.079798,0.032325,0.458065,0.179436,0.019921,0.342333,0.087390,0.005828,0.369135,,,
134,1.116667,0.079918,0.032590,0.458081,0.178157,0.020869,0.341625,0.087344,0.005925,0.369245,,,
