Format Version,1.1,Take Name,Trial03,Capture Frame Rate,120.014526,Export Frame Rate,120.014526,Capture Start Time,2017-11-07 07.12.50.309 PM,Total Frames,646,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_11922,Marker_11922,Marker_11922,Marker_11914,Marker_11914,Marker_11914,Marker_11916,Marker_11916,Marker_11916
,,"8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8C","8392B20CF49E35702E8C","8392B20CF49E35702E8C"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
79,0.658254,0.078402,0.053007,-0.014071,0.114134,0.070948,0.060937,0.101267,0.056951,0.123719
80,0.666586,0.084757,0.054201,-0.016264,0.115192,0.071047,0.061195,0.101447,0.056874,0.123796
81,0.674918,0.091692,0.055597,-0.018135,0.116197,0.071045,0.061498,0.101636,0.056747,0.123867
82,0.683251,0.098637,0.057507,-0.019332,0.117258,0.071113,0.061809,0.101997,0.056649,0.123922
83,0.691583,0.104603,0.059421,-0.020008,0.118089,0.071109,0.062164,0.102340,0.056467,0.124028
84,0.699915,0.109424,0.061121,-0.020186,0.118913,0.071213,0.062594,0.102777,0.056426,0.124184
85,0.708248,0.113006,0.062430,-0.020086,0.119568,0.071257,0.062902,0.103216,0.056340,0.124324
86,0.716580,0.115458,0.063319,-0.019877,0.120230,0.071307,0.063204,0.103643,0.056332,0.124445
87,0.724912,0.116756,0.063912,-0.019676,0.120690,0.071281,0.063380,0.103976,0.056293,0.124563
88,0.733245,0.116857,0.064087,-0.019540,0.120952,0.071279,0.063469,0.104213,0.056241,0.124659
89,0.741577,0.115579,0.063749,-0.019490,0.120982,0.071200,0.063457,0.104366,0.056159,0.124735
90,0.749909,0.112767,0.063002,-0.019416,0.120918,0.071177,0.063369,0.104488,0.056167,0.124768
91,0.758242,0.107979,0.061590,-0.019174,0.120610,0.071116,0.063152,0.104477,0.056155,0.124775
92,0.766574,0.102018,0.059976,-0.018544,0.120029,0.071017,0.062798,0.104404,0.056186,0.124744
93,0.774906,0.094801,0.057833,-0.017404,0.119341,0.071032,0.062415,0.104227,0.056269,0.124668
94,0.783239,0.087407,0.055603,-0.015612,0.118235,0.070826,0.061947,0.104004,0.056358,0.124539
95,0.791571,0.080357,0.053458,-0.013461,0.117162,0.070764,0.061520,0.103595,0.056390,0.124374
96,0.799903,0.074292,0.051721,-0.011137,0.115949,0.070646,0.061130,0.103090,0.056491,0.124205
97,0.808235,0.069532,0.050342,-0.009205,0.114847,0.070644,0.060843,0.102743,0.056662,0.124004
98,0.816568,0.066733,0.049578,-0.008049,0.113952,0.070650,0.060594,0.102376,0.056910,0.123831
99,0.824900,0.065836,0.049402,-0.007864,0.113242,0.070605,0.060475,0.101889,0.056985,0.123711
100,0.833232,0.066577,0.049716,-0.008617,0.113114,0.070781,0.060441,0.101551,0.057040,0.123619
101,0.841565,0.068853,0.050432,-0.010044,0.113140,0.070879,0.060479,0.101343,0.057124,0.123584
102,0.849897,0.072520,0.051507,-0.011822,0.113470,0.070960,0.060587,0.101182,0.057098,0.123589
103,0.858229,0.077210,0.052678,-0.013798,0.114063,0.071099,0.060780,0.101185,0.057026,0.123654
104,0.866562,0.083012,0.054041,-0.015836,0.114840,0.071120,0.061037,0.101282,0.056894,0.123727
105,0.874894,0.089581,0.055415,-0.017652,0.115776,0.071137,0.061304,0.101508,0.056833,0.123819
106,0.883226,0.096417,0.056766,-0.019100,0.116864,0.071212,0.061692,0.101773,0.056738,0.123908
107,0.891559,0.102972,0.058370,-0.019918,0.117815,0.071215,0.062069,0.102093,0.056563,0.124008
108,0.899891,0.108778,0.060234,-0.020220,0.118707,0.071234,0.062531,0.102484,0.056446,0.124126
109,0.908223,0.113194,0.061887,-0.020176,0.119430,0.071255,0.062955,0.102868,0.056374,0.124268
110,0.916556,0.116433,0.063390,-0.019908,0.120301,0.071443,0.063339,0.103324,0.056284,0.124428
111,0.924888,0.118061,0.064120,-0.019634,0.120839,0.071440,0.063602,0.103773,0.056325,0.124559
112,0.933220,0.118147,0.064164,-0.019437,0.121313,0.071513,0.063804,0.104067,0.056263,0.124689
113,0.941553,0.116377,0.063596,-0.019380,0.121585,0.071448,0.063776,0.104341,0.056212,0.124777
114,0.949885,0.112819,0.062569,-0.019290,0.121387,0.071222,0.063599,0.104614,0.056227,0.124828
115,0.958217,0.107856,0.061201,-0.018989,0.120987,0.071094,0.063370,0.104716,0.056235,0.124850
116,0.966550,0.101674,0.059440,-0.018327,0.120374,0.070977,0.063011,0.104625,0.056226,0.124823
117,0.974882,0.094856,0.057598,-0.017119,0.119681,0.070969,0.062564,0.104384,0.056201,0.124747
118,0.983214,0.087532,0.055303,-0.015455,0.118509,0.070778,0.062097,0.104140,0.056338,0.124617
119,0.991547,0.080990,0.053242,-0.013505,0.117419,0.070733,0.061637,0.103768,0.056438,0.124434
120,0.999879,0.075842,0.051609,-0.011682,0.116236,0.070682,0.061236,0.103163,0.056509,0.124244
121,1.008211,0.072315,0.050425,-0.010428,0.115188,0.070664,0.060893,0.102772,0.056683,0.124025
122,1.016544,0.070682,0.049831,-0.010119,0.114467,0.070670,0.060685,0.102288,0.056895,0.123866
123,1.024876,0.070908,0.049933,-0.010561,0.113945,0.070732,0.060575,0.101817,0.056975,0.123720
124,1.033208,0.072195,0.050286,-0.011456,0.113834,0.070836,0.060560,0.101523,0.057058,0.123625
125,1.041541,0.074590,0.050821,-0.012585,0.113955,0.070903,0.060588,0.101286,0.057095,0.123582
126,1.049873,0.078104,0.051347,-0.014004,0.114272,0.070897,0.060689,0.101189,0.057083,0.123581
127,1.058205,0.082751,0.052060,-0.015655,0.114938,0.070932,0.060869,0.101276,0.057051,0.123620
128,1.066538,0.088261,0.053019,-0.017315,0.115649,0.070894,0.061114,0.101331,0.056871,0.123709
129,1.074870,0.094318,0.054618,-0.018607,0.116477,0.070843,0.061424,0.101592,0.056816,0.123788
130,1.083202,0.099689,0.056186,-0.019524,0.117484,0.071035,0.061803,0.101960,0.056733,0.123892
131,1.091535,0.104398,0.057899,-0.019968,0.118252,0.071062,0.062166,0.102240,0.056506,0.124035
132,1.099867,0.108364,0.059480,-0.020100,0.118952,0.071138,0.062601,0.102722,0.056513,0.124206
133,1.108199,0.111829,0.060922,-0.020063,0.119595,0.071206,0.062990,0.103027,0.056389,0.124357
134,1.116532,0.114498,0.062111,-0.019888,0.120338,0.071340,0.063294,0.103478,0.056338,0.124496
