Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.27,0.300152,0.945764,0.719715,0.120117,1.707215,0.031264,-0.221016,2.820704,0.199396,-0.311169,0.121875,0.711575,-0.25887,2.161146,0.122085,0.515168,1.692298,0.879617,-0.216147,0.898295,0.416108,0.236492,2.87775,0.894989,0.231613,2.2265,1.018925,0.279406,1.872765,0.873177,-0.22274,1.869677,0.33585
0.28,0.300323,0.945863,0.719682,0.12374,1.706132,0.029946,-0.220574,2.821248,0.199552,-0.311176,0.121913,0.711546,-0.255772,2.161161,0.124126,0.515551,1.692216,0.875441,-0.2191,0.89952,0.4146,0.237055,2.878407,0.894572,0.231532,2.226577,1.018686,0.279991,1.873386,0.872065,-0.222645,1.86974,0.335927
0.29,0.300412,0.945836,0.719743,0.127237,1.704721,0.029265,-0.220251,2.82145,0.199818,-0.31117,0.121906,0.711604,-0.252398,2.160734,0.12665,0.515576,1.692541,0.870879,-0.219115,0.898008,0.416314,0.237511,2.878836,0.896285,0.231182,2.226508,1.018275,0.281321,1.874472,0.869737,-0.222627,1.869799,0.335896
0.3,0.300616,0.945755,0.719715,0.130584,1.703789,0.0289,-0.219155,2.822134,0.199642,-0.311208,0.121925,0.711633,-0.24926,2.160224,0.12882,0.515369,1.692027,0.867385,-0.219057,0.899538,0.414763,0.235837,2.878518,0.896865,0.230799,2.226526,1.017937,0.281814,1.87485,0.868447,-0.221635,1.86927,0.337206
0.31,0.300739,0.945628,0.719766,0.133475,1.702641,0.029087,-0.218382,2.822562,0.199759,-0.311312,0.121902,0.711687,-0.245942,2.160653,0.130686,0.515749,1.691873,0.864341,-0.218724,0.899406,0.414341,0.235575,2.878622,0.897671,0.229946,2.226196,1.017229,0.282857,1.875847,0.865537,-0.221626,1.869369,0.337123
0.32,0.300852,0.94561,0.719758,0.13605,1.701265,0.029514,-0.217728,2.822917,0.199874,-0.311256,0.121869,0.71169,-0.243215,2.160493,0.132462,0.515048,1.691608,0.861147,-0.218644,0.899404,0.414336,0.235203,2.878797,0.898423,0.229251,2.225966,1.016678,0.284173,1.877308,0.861533,-0.221885,1.869771,0.336349
0.33,0.302443,0.946087,0.717489,0.137792,1.699569,0.029996,-0.216802,2.823279,0.199983,-0.311245,0.121902,0.711642,-0.240985,2.160339,0.134327,0.51477,1.691482,0.858314,-0.217631,0.900201,0.413905,0.234989,2.879058,0.899016,0.228935,2.225947,1.016497,0.283888,1.877388,0.860897,-0.222084,1.870129,0.335707
0.34,0.302745,0.946276,0.717348,0.139209,1.698003,0.0308,-0.215931,2.823573,0.199928,-0.311254,0.121908,0.711662,-0.238938,2.160095,0.136319,0.513871,1.690827,0.856387,-0.21856,0.89991,0.414635,0.234697,2.8792,0.899885,0.228631,2.225922,1.016286,0.254644,0.080032,0.765051,-0.222303,1.87052,0.335003
0.35,0.302284,0.946521,0.718937,0.139922,1.695884,0.032025,-0.214588,2.824463,0.199823,-0.311233,0.121922,0.711659,-0.237177,2.160238,0.137849,0.513128,1.689982,0.855559,-0.218778,0.899914,0.415186,0.234498,2.879359,0.900644,0.228427,2.225987,1.016293,0.254609,0.080074,0.765093,-0.222614,1.870922,0.334153
0.36,0.302964,0.946322,0.717369,0.14043,1.693999,0.033861,-0.213804,2.824555,0.199729,-0.311243,0.121956,0.711632,-0.235947,2.159858,0.140023,0.51142,1.688271,0.855842,-0.21798,0.899819,0.414943,0.234371,2.87943,0.901539,0.227811,2.225735,1.016132,0.282036,1.876148,0.862667,-0.221356,1.870038,0.335673
0.37,0.303056,0.946244,0.717494,0.140824,1.691859,0.036115,-0.213383,2.824685,0.200036,-0.311202,0.121892,0.711631,-0.234623,2.160177,0.141318,0.509851,1.686391,0.857157,-0.214016,0.897949,0.415633,0.234218,2.879375,0.902404,0.227034,2.225636,1.015916,0.282851,1.87685,0.86102,-0.22169,1.870451,0.334779
0.38,0.302601,0.946601,0.71901,0.141358,1.690072,0.039124,-0.212995,2.824898,0.200392,-0.311219,0.121936,0.711619,-0.233796,2.160095,0.14278,0.507638,1.684317,0.859286,-0.215842,0.898429,0.414957,0.23439,2.87939,0.90321,0.225907,2.225277,1.015745,0.283456,1.877495,0.859481,-0.22098,1.869908,0.335393
0.39,0.303264,0.946451,0.717432,0.141382,1.688212,0.042169,-0.211975,2.825264,0.200243,-0.311055,0.122143,0.71152,-0.233422,2.160327,0.143806,0.505142,1.682488,0.861772,-0.213453,0.897612,0.415075,0.234683,2.879449,0.903947,0.224893,2.22519,1.015856,0.282688,1.877264,0.860357,-0.220536,1.871264,0.33462
0.4,0.303426,0.946542,0.717315,0.141643,1.6863,0.046271,-0.211583,2.825495,0.200683,-0.311136,0.121947,0.711514,-0.232731,2.160797,0.14456,0.502291,1.680314,0.865913,-0.21456,0.897553,0.414767,0.234905,2.879397,0.904623,0.223621,2.225036,1.015917,0.281788,1.876749,0.861692,-0.219764,1.871006,0.335076
0.41,0.303039,0.946899,0.718987,0.141649,1.684723,0.050164,-0.211887,2.825507,0.20191,-0.311048,0.122226,0.711477,-0.232267,2.16094,0.145489,0.500762,1.679352,0.870163,-0.216399,0.897784,0.415297,0.234777,2.879083,0.905246,0.22191,2.224506,1.015995,0.280568,1.87591,0.863433,-0.219559,1.871326,0.334546
0.42,0.303288,0.946899,0.718999,0.14168,1.68295,0.054569,-0.209947,2.826428,0.200962,-0.310978,0.122183,0.711429,-0.232633,2.161406,0.146318,0.497569,1.677316,0.874631,-0.2152,0.899296,0.413809,0.234769,2.878676,0.905936,0.220215,2.22404,1.016243,0.253897,0.079816,0.765229,-0.220127,1.872058,0.332998
0.43,0.304082,0.946562,0.717467,0.141916,1.681383,0.05939,-0.21152,2.826513,0.203778,-0.310995,0.122205,0.711443,-0.233336,2.161469,0.147201,0.494844,1.675144,0.879198,-0.213357,0.898399,0.413642,0.235932,2.878524,0.90545,0.218374,2.223713,1.01685,0.253897,0.079816,0.765229,-0.218664,1.871452,0.334286
0.44,0.304485,0.946413,0.717467,0.141427,1.680005,0.063836,-0.21124,2.826749,0.204436,-0.310888,0.122327,0.711378,-0.233986,2.161394,0.147742,0.491868,1.673341,0.883815,-0.211869,0.897781,0.413784,0.236521,2.87818,0.906135,0.216032,2.223291,1.017161,0.253897,0.079816,0.765229,-0.217302,1.870989,0.335288
0.45,0.304648,0.946287,0.717513,0.141261,1.679015,0.069127,-0.210695,2.827124,0.204808,-0.310906,0.122356,0.711392,-0.235134,2.162167,0.148338,0.488268,1.671852,0.888116,-0.21068,0.897826,0.413215,0.236097,2.877318,0.907785,0.214599,2.223328,1.018547,0.253897,0.079816,0.765229,-0.218183,1.871965,0.333043
0.46,0.305056,0.946456,0.717333,0.141158,1.678721,0.074265,-0.210182,2.827545,0.205054,-0.310817,0.122397,0.711381,-0.23614,2.162381,0.148663,0.485551,1.670647,0.892895,-0.211323,0.897452,0.412923,0.237355,2.877035,0.908449,0.211979,2.222426,1.018914,0.253897,0.079816,0.765229,-0.219133,1.873283,0.33022
0.47,0.305301,0.946207,0.717186,0.139932,1.678206,0.079763,-0.209988,2.827793,0.205723,-0.310821,0.122434,0.711358,-0.237409,2.162594,0.148737,0.482943,1.669453,0.897614,-0.209617,0.897589,0.41237,0.237223,2.876271,0.909108,0.210236,2.221822,1.020044,0.253897,0.079816,0.765229,-0.218094,1.873627,0.330237
0.48,0.303866,0.945527,0.71844,0.138789,1.677923,0.085348,-0.209511,2.828222,0.206043,-0.310755,0.122375,0.711305,-0.238598,2.162917,0.149297,0.481366,1.669261,0.902737,-0.209316,0.897565,0.412182,0.237556,2.875717,0.909836,0.208675,2.221218,1.021369,0.253897,0.079816,0.765229,-0.216938,1.872876,0.330842
