Format Version,1.22,,,Capture Frame Rate,120,Export Frame Rate,120
,,,,,,,
,,Marker,Marker,Marker,,,
,,MarkerSet 01:index,MarkerSet 01:index,MarkerSet 01:index,,,
,,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,,,
,,Position,Position,Position,,,
Frame,Time (Seconds),X,Y,Z,,,
166,1.383333,-0.011503,0.06353,0.010226,,,
167,1.391667,-0.011146,0.062221,0.010388,,,
168,1.4,-0.010673,0.061009,0.010504,,,
169,1.408333,-0.010304,0.059628,0.010644,,,
170,1.416667,-0.009957,0.058278,0.010761,,,
171,1.425,-0.00953,0.057035,0.010864,,,
172,1.433333,-0.009234,0.055624,0.011026,,,
173,1.441667,-0.008918,0.054331,0.011175,,,
174,1.45,-0.008597,0.053062,0.011325,,,
175,1.458333,-0.008364,0.051738,0.011494,,,
176,1.466667,-0.008127,0.050458,0.011699,,,
177,1.475,-0.0079,0.049185,0.011965,,,
178,1.483333,-0.007756,0.047864,0.012246,,,
179,1.491667,-0.00761,0.046557,0.012529,,,
180,1.5,-0.007529,0.045212,0.012838,,,
181,1.508333,-0.007491,0.043828,0.013136,,,
182,1.516667,-0.007477,0.042384,0.013436,,,
183,1.525,-0.007485,0.040965,0.01373,,,
184,1.533333,-0.007667,0.040083,0.01417,,,
185,1.541667,-0.007558,0.040126,0.014587,,,
186,1.55,-0.00736,0.040757,0.014837,,,
187,1.558333,-0.007435,0.041149,0.015085,,,
188,1.566667,-0.007826,0.040816,0.01524,,,
189,1.575,-0.007986,0.040651,0.015029,,,
190,1.583333,-0.007888,0.040783,0.014894,,,
191,1.591667,-0.007929,0.040795,0.015191,,,
192,1.6,-0.008077,0.040947,0.015529,,,
193,1.608333,-0.008337,0.041052,0.015595,,,
194,1.616667,-0.008586,0.041063,0.015493,,,
195,1.625,-0.008687,0.0412,0.015208,,,
196,1.633333,-0.008667,0.041747,0.01476,,,
197,1.641667,-0.008627,0.042209,0.014064,,,
198,1.65,-0.008532,0.04274,0.012864,,,
199,1.658333,-0.00828,0.043619,0.01109,,,
200,1.666667,-0.007815,0.044929,0.009093,,,
201,1.675,-0.007207,0.046125,0.007197,,,
202,1.683333,-0.006613,0.046934,0.005135,,,
203,1.691667,-0.005918,0.047788,0.002745,,,
204,1.7,-0.005446,0.0483,0.00034,,,
205,1.708333,-0.00519,0.048565,-0.001775,,,
206,1.716667,-0.004993,0.048841,-0.003705,,,
207,1.725,-0.00479,0.049278,-0.005568,,,
208,1.733333,-0.004737,0.049565,-0.007295,,,
209,1.741667,-0.004738,0.050018,-0.008891,,,
210,1.75,-0.004822,0.050592,-0.010263,,,
211,1.758333,-0.005005,0.051077,-0.011451,,,
212,1.766667,-0.005168,0.051688,-0.01244,,,
213,1.775,-0.005403,0.052224,-0.013354,,,
214,1.783333,-0.005628,0.052738,-0.014142,,,
215,1.791667,-0.005906,0.053289,-0.014786,,,
216,1.8,-0.006137,0.053932,-0.015272,,,
217,1.808333,-0.006349,0.054561,-0.015639,,,
218,1.816667,-0.006636,0.05508,-0.015955,,,
219,1.825,-0.006903,0.055601,-0.016162,,,
220,1.833333,-0.007108,0.056166,-0.016296,,,
221,1.841667,-0.007335,0.056633,-0.01634,,,
222,1.85,-0.007546,0.057084,-0.016317,,,
223,1.858333,-0.00777,0.057457,-0.01617,,,
224,1.866667,-0.007891,0.057901,-0.015886,,,
225,1.875,-0.008145,0.058171,-0.015552,,,
226,1.883333,-0.008306,0.058503,-0.015061,,,
227,1.891667,-0.008498,0.058867,-0.014527,,,
228,1.9,-0.008721,0.059173,-0.013997,,,
229,1.908333,-0.008944,0.0595,-0.013433,,,
230,1.916667,-0.009088,0.059898,-0.012884,,,
231,1.925,-0.009314,0.06002,-0.012393,,,
232,1.933333,-0.009472,0.060279,-0.011901,,,
233,1.941667,-0.009588,0.060508,-0.01137,,,
234,1.95,-0.009808,0.060513,-0.010873,,,
235,1.958333,-0.009832,0.060761,-0.010348,,,
236,1.966667,-0.009913,0.060843,-0.009816,,,
237,1.975,-0.010059,0.060771,-0.00935,,,
238,1.983333,-0.010092,0.060799,-0.00886,,,
239,1.991667,-0.010129,0.060726,-0.008406,,,
240,2,-0.010155,0.060661,-0.008033,,,
241,2.008333,-0.010198,0.060446,-0.007681,,,
242,2.016667,-0.010126,0.060441,-0.007352,,,
243,2.025,-0.010156,0.060239,-0.007034,,,
244,2.033333,-0.01014,0.060071,-0.006728,,,
245,2.041667,-0.010045,0.059905,-0.00647,,,
246,2.05,-0.010095,0.059533,-0.006271,,,
247,2.058333,-0.010022,0.059324,-0.006068,,,
248,2.066667,-0.009948,0.059208,-0.005843,,,
249,2.075,-0.009942,0.058988,-0.00563,,,
250,2.083333,-0.009942,0.058721,-0.005454,,,
251,2.091667,-0.009937,0.058411,-0.005319,,,
252,2.1,-0.00989,0.058159,-0.005174,,,
253,2.108333,-0.00991,0.057843,-0.004991,,,
254,2.116667,-0.009892,0.057628,-0.004749,,,
255,2.125,-0.009834,0.057393,-0.004496,,,
256,2.133333,-0.009868,0.057055,-0.004292,,,
257,2.141667,-0.00983,0.056773,-0.004085,,,
258,2.15,-0.009852,0.056433,-0.003905,,,
259,2.158333,-0.009864,0.056057,-0.003675,,,
260,2.166667,-0.009869,0.055545,-0.003447,,,
261,2.175,-0.009939,0.054985,-0.003192,,,
262,2.183333,-0.010018,0.054432,-0.002868,,,
263,2.191667,-0.009977,0.053898,-0.002433,,,
264,2.2,-0.010035,0.053224,-0.001891,,,
265,2.208333,-0.010056,0.052529,-0.001201,,,
266,2.216667,-0.010106,0.051681,-0.000458,,,
267,2.225,-0.010163,0.050722,0.000231,,,
268,2.233333,-0.0102,0.049728,0.000875,,,
269,2.241667,-0.010197,0.048682,0.001572,,,
270,2.25,-0.010149,0.047711,0.002377,,,
271,2.258333,-0.010201,0.046619,0.003315,,,
272,2.266667,-0.010244,0.045478,0.004299,,,
273,2.275,-0.010355,0.04418,0.005342,,,
274,2.283333,-0.010523,0.042942,0.006525,,,
275,2.291667,-0.010658,0.041896,0.007888,,,
276,2.3,-0.010887,0.040794,0.009289,,,
277,2.308333,-0.011149,0.039718,0.010623,,,
278,2.316667,-0.011432,0.038736,0.011858,,,
279,2.325,-0.011728,0.037855,0.012973,,,
280,2.333333,-0.012107,0.037206,0.013672,,,
281,2.341667,-0.012175,0.037372,0.014134,,,
282,2.35,-0.012074,0.037855,0.014729,,,
283,2.358333,-0.012463,0.03787,0.015954,,,
284,2.366667,-0.013143,0.03766,0.017353,,,
285,2.375,-0.013745,0.037476,0.018277,,,
286,2.383333,-0.014163,0.037441,0.018896,,,
287,2.391667,-0.014544,0.037321,0.019371,,,
288,2.4,-0.014572,0.03755,0.019562,,,
289,2.408333,-0.014475,0.037894,0.01955,,,
290,2.416667,-0.014693,0.037929,0.019587,,,
291,2.425,-0.014978,0.038179,0.019739,,,
292,2.433333,-0.015166,0.03865,0.019927,,,
293,2.441667,-0.015191,0.039682,0.020069,,,
294,2.45,-0.015354,0.040934,0.020227,,,
295,2.458333,-0.015781,0.042134,0.0203,,,
296,2.466667,-0.016236,0.043391,0.020196,,,
297,2.475,-0.016474,0.045061,0.020011,,,
298,2.483333,-0.016773,0.046706,0.019862,,,
299,2.491667,-0.017185,0.048463,0.019739,,,
300,2.5,-0.017726,0.05016,0.019516,,,
301,2.508333,-0.018292,0.051932,0.019145,,,
302,2.516667,-0.018789,0.053873,0.018713,,,
303,2.525,-0.019301,0.055763,0.01835,,,
304,2.533333,-0.019883,0.057707,0.017988,,,
305,2.541667,-0.020474,0.059738,0.017558,,,
306,2.55,-0.021058,0.06186,0.017108,,,
307,2.558333,-0.021594,0.064002,0.016678,,,
308,2.566667,-0.022158,0.066057,0.016329,,,
309,2.575,-0.022819,0.067889,0.016039,,,
310,2.583333,-0.023381,0.069722,0.015689,,,
