Format Version,1.23,Take Name,Take 2024-04-16 11.47.16 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.47.16.236 AM,Capture Start Frame,311328,Total Frames in Take,6967,Total Exported Frames,6967,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249
,ID,"D0880","D0880","D0880","D08E0","D08E0","D08E0","D0900","D0900","D0900","D0910","D0910","D0910","D0920","D0920","D0920"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
71,0.591667,0.288316,-0.048423,-0.073374,0.260797,-0.025396,0.038215,0.239130,-0.022557,-0.004468,,,,,,
72,0.600000,0.288349,-0.048418,-0.073375,0.260819,-0.025408,0.038219,0.239119,-0.022576,-0.004469,,,,,,
73,0.608333,0.288296,-0.048431,-0.073379,0.260802,-0.025410,0.038214,0.239118,-0.022580,-0.004470,,,,,,
74,0.616667,0.288322,-0.048414,-0.073381,0.260828,-0.025399,0.038216,0.239079,-0.022578,-0.004480,,,,,,
75,0.625000,0.288267,-0.048415,-0.073380,0.260791,-0.025394,0.038210,0.239115,-0.022551,-0.004473,,,,,,
76,0.633333,0.288299,-0.048394,-0.073375,0.260781,-0.025380,0.038214,0.239122,-0.022538,-0.004468,,,,,,
77,0.641667,0.288271,-0.048401,-0.073368,0.260788,-0.025381,0.038213,0.239121,-0.022536,-0.004466,,,,,,
78,0.650000,0.288279,-0.048412,-0.073366,0.260783,-0.025381,0.038219,0.239104,-0.022555,-0.004472,,,,,,
79,0.658333,0.288305,-0.048417,-0.073369,0.260807,-0.025390,0.038220,0.239124,-0.022555,-0.004470,,,,,,
80,0.666667,0.288292,-0.048423,-0.073367,0.260813,-0.025389,0.038216,0.239100,-0.022567,-0.004468,,,,,,
81,0.675000,0.288293,-0.048410,-0.073364,0.260802,-0.025385,0.038216,0.239116,-0.022552,-0.004467,,,,,,
82,0.683333,0.288272,-0.048418,-0.073362,0.260788,-0.025396,0.038217,0.239109,-0.022562,-0.004469,,,,,,
83,0.691667,0.288309,-0.048409,-0.073367,0.260792,-0.025398,0.038214,0.239120,-0.022558,-0.004467,,,,,,
84,0.700000,0.288282,-0.048426,-0.073369,0.260768,-0.025419,0.038208,0.239113,-0.022566,-0.004473,,,,,,
85,0.708333,0.288295,-0.048424,-0.073372,0.260780,-0.025416,0.038210,0.239144,-0.022560,-0.004470,,,,,,
86,0.716667,0.288333,-0.048412,-0.073368,0.260803,-0.025402,0.038214,0.239127,-0.022560,-0.004472,,,,,,
87,0.725000,0.288280,-0.048416,-0.073369,0.260768,-0.025396,0.038207,0.239125,-0.022552,-0.004469,,,,,,
88,0.733333,0.288335,-0.048393,-0.073368,0.260791,-0.025375,0.038213,0.239139,-0.022533,-0.004468,,,,,,
89,0.741667,0.288274,-0.048387,-0.073370,0.260801,-0.025355,0.038212,0.239131,-0.022520,-0.004472,,,,,,
90,0.750000,0.288303,-0.048388,-0.073367,0.260833,-0.025349,0.038222,0.239121,-0.022524,-0.004469,,,,,,
91,0.758333,0.288277,-0.048404,-0.073364,0.260784,-0.025380,0.038216,0.239131,-0.022537,-0.004469,,,,,,
92,0.766667,0.288307,-0.048422,-0.073360,0.260802,-0.025405,0.038218,0.239104,-0.022573,-0.004468,,,,,,
