Format Version,1.23,Take Name,jon dominant hand,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 10.43.18.665 AM,Capture Start Frame,130477,Total Frames in Take,934,Total Exported Frames,934,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005
,ID,"F00A0","F00A0","F00A0","F0110","F0110","F0110","F0380","F0380","F0380","F03D0","F03D0","F03D0","F03E0","F03E0","F03E0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
125,1.041667,0.019077,0.038580,0.101368,-0.077215,-0.003854,0.182122,-0.057832,0.051849,0.202416,,,,,,
126,1.050000,0.018987,0.038565,0.101306,-0.076352,-0.003878,0.181901,-0.057856,0.051950,0.202393,,,,,,
127,1.058333,0.018719,0.038636,0.101107,-0.075574,-0.003858,0.181595,-0.057944,0.052011,0.202326,,,,,,
128,1.066667,0.018883,0.038577,0.101255,-0.074753,-0.003903,0.181603,-0.057987,0.052021,0.202328,,,,,,
129,1.075000,0.018874,0.038659,0.101280,-0.074322,-0.003848,0.181269,-0.058007,0.051996,0.202329,,,,,,
130,1.083333,0.018816,0.038644,0.101177,-0.073712,-0.003895,0.181080,-0.058060,0.051895,0.202340,,,,,,
131,1.091667,0.018911,0.038753,0.101281,-0.073416,-0.003889,0.180653,-0.058211,0.051810,0.202213,,,,,,
132,1.100000,0.018961,0.038782,0.101236,-0.073257,-0.003847,0.180148,-0.058393,0.051690,0.202027,,,,,,
133,1.108333,0.019218,0.038789,0.101287,-0.073196,-0.003891,0.179728,-0.058644,0.051532,0.201810,,,,,,
134,1.116667,0.019254,0.038888,0.101207,-0.073565,-0.003759,0.178982,-0.059006,0.051401,0.201398,,,,,,
135,1.125000,0.019336,0.038855,0.101222,-0.074021,-0.003776,0.178302,-0.059223,0.051260,0.201114,,,,,,
136,1.133333,0.019465,0.038786,0.101134,-0.074610,-0.003686,0.177715,-0.059669,0.051152,0.200584,,,,,,
137,1.141667,0.019636,0.038657,0.101152,-0.075369,-0.003647,0.177113,-0.059907,0.050916,0.200331,,,,,,
138,1.150000,0.019680,0.038629,0.101097,-0.075955,-0.003793,0.176966,-0.060121,0.050760,0.200099,,,,,,
139,1.158333,0.019453,0.038480,0.100775,-0.076875,-0.003652,0.176751,-0.060146,0.050613,0.200011,,,,,,
140,1.166667,0.019406,0.038428,0.100643,-0.077622,-0.003643,0.177001,-0.060161,0.050523,0.199974,,,,,,
141,1.175000,0.019090,0.038488,0.100287,-0.078301,-0.003541,0.177304,-0.060065,0.050483,0.200068,,,,,,
142,1.183333,0.019091,0.038401,0.100319,-0.078488,-0.003681,0.178233,-0.059758,0.050471,0.200387,,,,,,
143,1.191667,0.018908,0.038422,0.100235,-0.078706,-0.003552,0.178949,-0.059261,0.050470,0.200874,,,,,,
144,1.200000,0.018994,0.038333,0.100468,-0.078430,-0.003657,0.180031,-0.058706,0.050526,0.201433,,,,,,
145,1.208333,0.018744,0.038362,0.100378,-0.078117,-0.003706,0.181073,-0.058110,0.050603,0.202101,,,,,,
146,1.216667,0.018851,0.038396,0.100624,-0.077948,-0.003565,0.181867,-0.057583,0.050761,0.202655,,,,,,
147,1.225000,0.018770,0.038481,0.100623,-0.077641,-0.003489,0.182599,-0.056989,0.050763,0.203259,,,,,,
148,1.233333,0.018748,0.038614,0.100685,-0.077202,-0.003530,0.183156,-0.056651,0.050854,0.203573,,,,,,
149,1.241667,0.018978,0.038614,0.100881,-0.076899,-0.003511,0.183475,-0.056349,0.050915,0.203874,,,,,,
150,1.250000,0.019007,0.038717,0.100926,-0.076788,-0.003460,0.183423,-0.056279,0.050951,0.203907,,,,,,
