Format Version,1.23,Take Name,Lab7-Task2-Subject3-001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.28.09.855 AM,Capture Start Frame,416449,Total Frames in Take,4461,Total Exported Frames,4461,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063
,ID,"C7BD0","C7BD0","C7BD0","C7BE0","C7BE0","C7BE0","C7BF0","C7BF0","C7BF0","C7C00","C7C00","C7C00"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
84,0.700000,0.010452,0.065397,0.141496,0.119831,0.072557,0.120356,0.086075,0.113042,-0.009707,,,
85,0.708333,0.010349,0.063022,0.143379,0.119729,0.070797,0.122739,0.086256,0.112231,-0.007286,,,
86,0.716667,0.010287,0.060548,0.145287,0.119680,0.068855,0.124916,0.086467,0.111317,-0.005061,,,
87,0.725000,0.010359,0.058011,0.147276,0.119692,0.066814,0.127096,0.086690,0.110376,-0.002684,,,
88,0.733333,0.010442,0.055464,0.149232,0.119719,0.064669,0.129077,0.086951,0.109404,-0.000360,,,
89,0.741667,0.010468,0.052953,0.151102,0.119737,0.062503,0.131143,0.087241,0.108405,0.001822,,,
90,0.750000,0.010279,0.050563,0.152958,0.119715,0.060297,0.133086,0.087494,0.107410,0.004165,,,
91,0.758333,0.010143,0.048106,0.154732,0.119666,0.058068,0.135141,0.087802,0.106301,0.006207,,,
92,0.766667,0.010043,0.045624,0.156345,0.119652,0.055714,0.136888,0.088104,0.105187,0.008399,,,
93,0.775000,0.009788,0.043225,0.157699,0.119638,0.053354,0.138728,0.088421,0.103990,0.010417,,,
94,0.783333,0.009398,0.040894,0.158942,0.119608,0.050944,0.140397,0.088758,0.102761,0.012361,,,
95,0.791667,0.009125,0.038651,0.160377,0.119497,0.048613,0.142207,0.089069,0.101558,0.014340,,,
96,0.800000,0.008855,0.036435,0.161811,0.119371,0.046339,0.143943,0.089364,0.100356,0.016149,,,
97,0.808333,0.008704,0.034291,0.163098,0.119279,0.044076,0.145476,0.089681,0.099195,0.017999,,,
98,0.816667,0.008637,0.032946,0.164539,0.119136,0.041968,0.147157,0.090096,0.097959,0.019660,,,
99,0.825000,0.008261,0.031907,0.165605,0.118939,0.039897,0.148733,0.090571,0.096795,0.021495,,,
100,0.833333,0.007875,0.030929,0.166512,0.118560,0.037870,0.150271,0.091241,0.095630,0.023001,,,
101,0.841667,0.007475,0.029891,0.167313,0.118078,0.036018,0.151772,0.091883,0.094562,0.024634,,,
102,0.850000,0.007220,0.028729,0.168020,0.117463,0.034334,0.153426,0.092551,0.093487,0.025946,,,
103,0.858333,0.007002,0.027520,0.168519,0.116722,0.032702,0.154999,0.093126,0.092559,0.027515,,,
104,0.866667,0.006818,0.026340,0.169004,0.115847,0.031027,0.156420,0.093716,0.091639,0.028805,,,
105,0.875000,0.006730,0.025309,0.169650,0.114779,0.029347,0.157811,0.094231,0.090786,0.030242,,,
106,0.883333,0.006784,0.024269,0.170325,0.113507,0.027752,0.159256,0.094840,0.089810,0.031181,,,
107,0.891667,0.006946,0.023149,0.171009,0.112168,0.026210,0.160517,0.095308,0.088858,0.032483,,,
108,0.900000,0.007101,0.022013,0.171626,0.110622,0.024753,0.161662,0.095880,0.087796,0.033300,,,
109,0.908333,0.007220,0.020931,0.172100,0.108889,0.023256,0.162665,0.096367,0.086764,0.034328,,,
110,0.916667,0.007335,0.019949,0.172515,0.107046,0.021681,0.163557,0.096880,0.085699,0.035131,,,
111,0.925000,0.007529,0.019041,0.172841,0.105182,0.020019,0.164198,0.097422,0.084649,0.035845,,,
112,0.933333,0.007782,0.018327,0.173318,0.103315,0.018988,0.164788,0.097924,0.083627,0.036626,,,
113,0.941667,0.007928,0.017934,0.173772,0.101727,0.019096,0.165432,0.098471,0.082540,0.037012,,,
114,0.950000,0.008071,0.017669,0.174090,0.100167,0.019172,0.166171,0.098824,0.081568,0.037621,,,
115,0.958333,0.008156,0.017520,0.174305,0.098649,0.019286,0.166884,0.099144,0.080674,0.038013,,,
116,0.966667,0.008382,0.017259,0.174541,0.097228,0.019348,0.167349,0.099464,0.079828,0.038250,,,
117,0.975000,0.008824,0.016871,0.174807,0.095703,0.019403,0.167656,0.099696,0.079098,0.038513,,,
118,0.983333,0.009496,0.016495,0.175339,0.093892,0.019532,0.167940,0.099896,0.078459,0.038855,,,
119,0.991667,0.010265,0.016024,0.175799,0.091621,0.019645,0.167886,0.100049,0.077872,0.039147,,,
120,1.000000,0.010889,0.015681,0.176218,0.089110,0.019746,0.167645,0.100182,0.077310,0.039430,,,
121,1.008333,0.011427,0.015354,0.176454,0.086854,0.019855,0.167342,0.100313,0.076766,0.039541,,,
122,1.016667,0.011840,0.015065,0.176605,0.084985,0.019954,0.167067,0.100396,0.076250,0.039599,,,
123,1.025000,0.012110,0.014908,0.176739,0.083488,0.020054,0.166830,0.100399,0.075867,0.039700,,,
124,1.033333,0.012271,0.014764,0.176686,0.082198,0.020151,0.166652,0.100307,0.075601,0.039851,,,
125,1.041667,0.012371,0.014674,0.176644,0.081045,0.020236,0.166479,0.100178,0.075454,0.039929,,,
126,1.050000,0.012465,0.014558,0.176597,0.079846,0.020296,0.166233,0.100003,0.075368,0.039993,,,
127,1.058333,0.012525,0.014449,0.176513,0.078381,0.020405,0.165959,0.099813,0.075323,0.039965,,,
128,1.066667,0.012588,0.014332,0.176327,0.076560,0.020529,0.165568,0.099601,0.075305,0.039969,,,
129,1.075000,0.012604,0.014234,0.176081,0.074433,0.020612,0.165025,0.099332,0.075297,0.040061,,,
130,1.083333,0.012570,0.014111,0.175687,0.072508,0.020744,0.164674,0.098973,0.075305,0.040231,,,
131,1.091667,0.012518,0.014008,0.175307,0.070928,0.020826,0.164299,0.098584,0.075301,0.040279,,,
132,1.100000,0.012435,0.013903,0.174966,0.069554,0.020869,0.163941,0.098187,0.075311,0.040252,,,
133,1.108333,0.012378,0.013771,0.174675,0.068298,0.020909,0.163713,0.097718,0.075346,0.040313,,,
134,1.116667,0.012334,0.013669,0.174548,0.067656,0.020968,0.163792,0.097224,0.075409,0.040356,,,
135,1.125000,0.012341,0.013526,0.174398,0.067391,0.020976,0.163851,0.096781,0.075470,0.040314,,,
136,1.133333,0.012425,0.013395,0.174325,0.067133,0.020971,0.163789,0.096324,0.075573,0.040344,,,
137,1.141667,0.012533,0.013305,0.174346,0.066836,0.020990,0.163721,0.095889,0.075744,0.040513,,,
138,1.150000,0.012650,0.013189,0.174247,0.066572,0.021020,0.163661,0.095574,0.075830,0.040432,,,
139,1.158333,0.012816,0.013089,0.174151,0.066402,0.021041,0.163593,0.095307,0.075905,0.040341,,,
140,1.166667,0.013046,0.013017,0.174111,0.066231,0.021013,0.163406,0.095067,0.076013,0.040289,,,
141,1.175000,0.013334,0.012949,0.173980,0.065922,0.020996,0.163241,0.094824,0.076201,0.040401,,,
142,1.183333,0.013710,0.012905,0.173847,0.065703,0.020989,0.163112,0.094651,0.076406,0.040391,,,
143,1.191667,0.014139,0.012924,0.173784,0.065471,0.020985,0.162993,0.094521,0.076625,0.040247,,,
144,1.200000,0.014520,0.013021,0.173718,0.065254,0.020969,0.162816,0.094412,0.076926,0.040195,,,
145,1.208333,0.014779,0.013215,0.173541,0.065062,0.020946,0.162635,0.094392,0.077237,0.040072,,,
146,1.216667,0.014921,0.013572,0.173377,0.065001,0.020912,0.162445,0.094440,0.077562,0.039965,,,
147,1.225000,0.014948,0.014141,0.173229,0.065023,0.020889,0.162331,0.094527,0.077902,0.039806,,,
148,1.233333,0.014844,0.014909,0.173049,0.065182,0.020888,0.162263,0.094612,0.078303,0.039617,,,
