Format Version,1.23,Take Name,Lab7- Task 2_Take1_Sub 1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.21.45.505 AM,Capture Start Frame,370323,Total Frames in Take,4920,Total Exported Frames,4920,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050
,ID,"C7290","C7290","C7290","C73E0","C73E0","C73E0","C7460","C7460","C7460","C7480","C7480","C7480"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
78,0.650000,0.172104,0.018787,-0.147693,0.101001,0.013238,-0.095567,0.113873,0.057619,-0.269433,,,
79,0.658333,0.172056,0.018826,-0.147646,0.100923,0.013298,-0.095567,0.113789,0.057631,-0.269338,,,
80,0.666667,0.172016,0.018863,-0.147623,0.100853,0.013401,-0.095478,0.113729,0.057642,-0.269386,,,
81,0.675000,0.171981,0.018935,-0.147536,0.100806,0.013543,-0.095440,0.113672,0.057679,-0.269278,,,
82,0.683333,0.171940,0.019000,-0.147484,0.100731,0.013828,-0.095343,0.113610,0.057716,-0.269182,,,
83,0.691667,0.171865,0.019085,-0.147414,0.100565,0.014363,-0.095169,0.113493,0.057770,-0.269076,,,
84,0.700000,0.171726,0.019293,-0.147160,0.100229,0.015231,-0.094916,0.113335,0.057857,-0.268953,,,
85,0.708333,0.171663,0.019587,-0.147093,0.099818,0.016428,-0.094652,0.113146,0.057999,-0.268767,,,
86,0.716667,0.171579,0.020115,-0.146980,0.099342,0.017874,-0.094252,0.112952,0.058174,-0.268640,,,
87,0.725000,0.171403,0.020973,-0.146713,0.098873,0.019403,-0.093837,0.112722,0.058374,-0.268551,,,
88,0.733333,0.171187,0.022015,-0.146381,0.098379,0.020913,-0.093538,0.112406,0.058628,-0.268420,,,
89,0.741667,0.170924,0.023148,-0.146080,0.097785,0.022466,-0.093064,0.112009,0.058953,-0.268186,,,
90,0.750000,0.170590,0.024226,-0.145752,0.097182,0.024018,-0.092663,0.111606,0.059277,-0.267927,,,
91,0.758333,0.170287,0.025264,-0.145369,0.096545,0.025675,-0.092003,0.111171,0.059618,-0.267659,,,
92,0.766667,0.169973,0.026300,-0.144859,0.096017,0.027213,-0.091550,0.110646,0.059943,-0.267148,,,
93,0.775000,0.169625,0.027417,-0.144126,0.095562,0.028729,-0.090860,0.110106,0.060245,-0.266530,,,
94,0.783333,0.169165,0.028208,-0.143432,0.095114,0.030243,-0.089974,0.109543,0.060619,-0.265810,,,
95,0.791667,0.168695,0.028717,-0.142659,0.094579,0.031599,-0.089038,0.109016,0.061077,-0.265014,,,
96,0.800000,0.168201,0.029158,-0.141737,0.093950,0.032789,-0.088159,0.108492,0.061638,-0.264113,,,
